q0, B, B, H
q0, 1, 0, q1
q1, 0, R, q1
q1, 1, R, q1
q1, B, R, q2
q2, B, 1, q3
q2, 1, R, q2
q3, 1, L, q3
q3, B, L, q3
q3, 0, R, q4
q4, 1, 0, q1
q4, B, L, q5
q5, 0, 1, q5
q5, 1, L, q5
q5, B, R, q6
q6, 1, R, q6
q6, B, R, q7
q7, 1, R, q7
q7, B, R, q8
q8, B, 1, q20
q20, 1, L, q20
q20, B, L, q21
q21, 1, L, q21
q21, B, L, q22
q22, 1, L, q22
q22, B, R, q23
q22, 0, R, q23
q23, 1, 0, q23
q23, 0, R, q24
q24, 1, R, q24
q24, B, R, q30
q30, 1, 0, q30
q30, 0, R, q31
q30, B, R, q50
q31, 1, R, q31
q31, B, R, q35
q35, 0, R, q35
q35, 1, 0, q36
q35, B, L, q45
q36, 0, L, q36
q36, B, L, q37
q37, 1, L, q37
q37, 0, L, q37
q37, B, L, q38
q38, 1, L, q38
q38, B, L, qib
q38, 0, L, q38
qib, 1, L, qib
qib, B, 1, q39
q39, 1, R, q39
q39, B, R, q40
q40, 0, R, q40
q40, 1, R, q40
q40, B, R, q41
q41, 0, R, q41
q41, 1, R, q41
q41, B, R, q35
q45, 0, 1, q45
q45, 1, L, q45
q45, B, L, q46
q46, 1, L, q46
q46, 0, R, q30
q50, 1, B, q51
q51, B, R, q52
q52, 1, 1, q50
q52, B, L, q53
q53, B, L, q53
q53, 0, 1, q54
q54, 1, L, q54
q54, 0, 1, q54
q54, B, L, q55
q55, 1, L, q55
q55, 0, L, q55
q55, B, L, q56
q56, 1, L, q56
q56, B, R, q60
